,title,price,link
10,"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU  ","46,990",https://amazon.in//HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_79?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-79
11,"(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim  ","19,700",https://amazon.in//Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BLVV4J9X/ref=sr_1_80?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-80
12,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty  ","25,990",https://amazon.in//Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_81?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-81
13,"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W  ","22,960",https://amazon.in//ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_7?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TMpuecSesXxO13ir63QBGp-EkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRd8O49t0dmfMWqMHv7awpjvRTwgEGaYKEFs_Z0Qma-ceTNXZbK-IYmqKzQieKY3XujvMXIV5MnJZs_BIwv3UJ9RgBojsOqkGlVYu6b-yUG3X3fzdY8e6LYqrShZMpmLADwHaggkpOqH39femdCmgF4k.BIbh5_CU1n_X_14ZgxFCDOS2_3SHKXIgmQwwfVLTBhM&dib_tag=se&keywords=laptop&qid=1720543913&sprefix=laptop%2Caps%2C322&sr=8-7
14,"MSI Modern 14, Intel 12th Gen. i7-1255U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12M-459IN  ","47,990",https://amazon.in//MSI-i7-1255U-Windows-Graphics-C12M-459IN/dp/B09YCX5F52/ref=sr_1_82?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-82
15,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050, Cosmos Gray/1.86Kg), B12UCX-1696IN  ","51,990",https://amazon.in//MSI-i5-12450H-Windows-GeForce-B12UCX-1696IN/dp/B0CV9S9VTM/ref=sr_1_83?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-83
16,"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Arctic Grey/1.65 Kg), 82YU00W7IN  ","28,990",https://amazon.in//Lenovo-39-62cm-Antiglare-Windows-82YU00W7IN/dp/B0C69Z4TKW/ref=sr_1_84?crid=1KDYI612DEZCU&dib=eyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs&dib_tag=se&keywords=laptop&qid=1720543948&sprefix=laptop%2Caps%2C322&sr=8-84
17,"Dell 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 8GB DDR4 & 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg  ","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4OTM3MzA0ODg1NDQxOTA6MTcyMDU0Mzk0ODpzcF9idGY6MzAwMTg5MjkwODYxNTMyOjowOjo&url=%2FDell-Generation-i5-1334U-Processor-39-62cm%2Fdp%2FB0D46P4V5V%2Fref%3Dsr_1_85_sspa%3Fcrid%3D1KDYI612DEZCU%26dib%3DeyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720543948%26sprefix%3Dlaptop%252Caps%252C322%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
18,"Apple 2023 MacBook Pro (16-inch, M3 Pro chip with 12â€‘core CPU and 18â€‘core GPU, 18GB Unified Memory, 512GB) - Space Black  ","2,39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4OTM3MzA0ODg1NDQxOTA6MTcyMDU0Mzk0ODpzcF9idGY6MzAwMDg1NDAzMjE5MzMyOjowOjo&url=%2FApple-MacBook-16-inch-12%25E2%2580%2591core-18%25E2%2580%2591core%2Fdp%2FB0CM5QG1Y1%2Fref%3Dsr_1_86_sspa%3Fcrid%3D1KDYI612DEZCU%26dib%3DeyJ2IjoiMSJ9.oD6NOhppyq34BlqSIx4YOSJXRs7YkBrkqpvwpAh8qRBQXmhaUsiGdMkO9K9cyHE8ESfeJk-KY5tLxtZ_71qZXl2aTa1HOHk7oSMVoBd60ttCgCaSn45MhruAA_4qLH5J14lGjU7qd-0pIsKPIjvJOXGzwj2HlqmPGff8PNMF0P8z_sDGrCnr_Qqdep6gW2OAK5b5Z11gSygRVC2dYjbF8rk96MoTcEv3FV7szH7a4F0.K3iR5mg6TuHQ0snfMjJmgljvHvYZUmimMMfcUgj-nUs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720543948%26sprefix%3Dlaptop%252Caps%252C322%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19,"ASUS Vivobook S 15 OLED (2023), Intel Core EVO i5-13500H 13th Gen, 15.6"" (39.62 cm) 2.8K 120Hz OLED, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/75WHr/Silver/1.7 kg) S5504VA-MA543WS  ","79,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5NjA2MTMxNjk4NTUxOTA6MTcyMDU0Mzk1NTpzcF9hdGZfbmV4dDozMDAxMTkzNDcxMTA5MzI6OjA6Og&url=%2FASUS-Vivobook-i5-13500H-Windows-S5504VA-MA543WS%2Fdp%2FB0C1GGLV9Z%2Fref%3Dsr_1_81_sspa%3Fcrid%3D1KDYI612DEZCU%26dib%3DeyJ2IjoiMSJ9.HPq19XTaiqWfTDKytYXOT1igmG85_d2K76nYxTzyx4xhcyCno9ytS_ueguv-qOTh1EFdFQ5Wvle7aESFLQSmO_TghvYDocUUNbPOhlByxdSRdrXdSlgVpJGsUxZvGZmr6SR2xNY5puTtheVArvFqZ7uF0yxVk8o-MOx6H5EhxBbFFSTcV3QeU1hdkYiNI8_zkvy3BACbcloExWW8aco-dWzREFtT_6DfeIFGqRwBJjA.aV51Rt73HNe2zdfMeX3hViv_xEa8-qDBjUahS9KFiMs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720543955%26sprefix%3Dlaptop%252Caps%252C322%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
